business_name,segment,city,address,phone,website,yelp_url,yelp_rating,yelp_review_count,google_rating,google_review_count,years_in_business,owner_name,email,social_media,source,status,notes
"Valley Heating, Air and Refrigeration Inc",hvac,Timnath,"671 Academy Ct UNIT A, Windsor, CO 80550, USA","","","",,,5.0,408,"","","","",google_places,untouched,""
"Valley Heating, Air and Refrigeration Inc",hvac,Johnstown,"671 Academy Ct UNIT A, Windsor, CO 80550, USA","","","",,,5.0,408,"","","","",google_places,untouched,""
"Valley Heating, Air and Refrigeration Inc",hvac,Milliken,"671 Academy Ct UNIT A, Windsor, CO 80550, USA","","","",,,5.0,408,"","","","",google_places,untouched,""
"Colorado Clean Living","cleaning service",Windsor,"1397 Ridge W Dr, Windsor, CO 80550, USA","","","",,,5.0,389,"","","","",google_places,untouched,""
"Colorado Clean Living","cleaning service",Wellington,"1397 Ridge W Dr, Windsor, CO 80550, USA","","","",,,5.0,389,"","","","",google_places,untouched,""
"Colorado Clean Living","cleaning service",Severance,"1397 Ridge W Dr, Windsor, CO 80550, USA","","","",,,5.0,389,"","","","",google_places,untouched,""
"Colorado Clean Living","cleaning service",Johnstown,"1397 Ridge W Dr, Windsor, CO 80550, USA","","","",,,5.0,389,"","","","",google_places,untouched,""
"Mountain View Automotive","auto repair",Wellington,"9062 W 1st St, Wellington, CO 80549, USA","","","",,,5.0,386,"","","","",google_places,untouched,""
"Dynamic Import Service","auto repair",Longmont,"937 Kimbark St, Longmont, CO 80501, USA","","","",,,5.0,374,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)",roofing,"Fort Collins","608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Windsor Duct Cleaning",hvac,Windsor,"130 Kitty Hawk Dr, Windsor, CO 80550, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Laporte,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Wellington,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Severance,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Timnath,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Milliken,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Evans,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Mead,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Drennen Custom Contracting (Radon and Roofing)","general contractor",Firestone,"608 E Trilby Rd, Fort Collins, CO 80525, USA","","","",,,5.0,365,"","","","",google_places,untouched,""
"Masterpiece Plumbing & Drain, LLC",plumbing,Frederick,"619 Huntover Ln, Frederick, MD 21703, USA","","","",,,5.0,363,"","","","",google_places,untouched,""
"TLC Carpet & Air Duct Cleaning","cleaning service",Greeley,"6380 W 10th St STE 7, Greeley, CO 80634, USA","","","",,,5.0,335,"","","","",google_places,untouched,""
"Way Finder Cleaning Services","cleaning service","Estes Park","1774 Avalon Dr, Estes Park, CO 80517, USA","","","",,,5.0,334,"","","","",google_places,untouched,""
"Longview Heating & Air",hvac,Firestone,"3540 State Hwy 52 Suite H28, Frederick, CO 80516, USA","","","",,,5.0,325,"","","","",google_places,untouched,""
"Longview Heating & Air",hvac,Frederick,"3540 State Hwy 52 Suite H28, Frederick, CO 80516, USA","","","",,,5.0,325,"","","","",google_places,untouched,""
"Longview Heating & Air",hvac,Dacono,"3540 State Hwy 52 Suite H28, Frederick, CO 80516, USA","","","",,,5.0,325,"","","","",google_places,untouched,""
"A Plus Heating & A/C",hvac,Longmont,"215 Versaw Ct, Berthoud, CO 80513, USA","","","",,,5.0,316,"","","","",google_places,untouched,""
"A Plus Heating & A/C",hvac,Berthoud,"215 Versaw Ct, Berthoud, CO 80513, USA","","","",,,5.0,316,"","","","",google_places,untouched,""
"A Plus Heating & A/C",hvac,Johnstown,"215 Versaw Ct, Berthoud, CO 80513, USA","","","",,,5.0,316,"","","","",google_places,untouched,""
"Pest Arrest Pest Control - Boulder","pest control",Longmont,"1495 Canyon Blvd Suite 301, Boulder, CO 80302, USA","","","",,,5.0,313,"","","","",google_places,untouched,""
"Actually Clean","cleaning service","Fort Collins","2001 Rosen Dr #5-118, Fort Collins, CO 80528, USA","","","",,,5.0,273,"","","","",google_places,untouched,""
"A&E Comfort Pros",hvac,Mead,"7391 CO-66, Platteville, CO 80651, USA","","","",,,5.0,268,"","","","",google_places,untouched,""
"A&E Comfort Pros",hvac,Dacono,"7391 CO-66, Platteville, CO 80651, USA","","","",,,5.0,268,"","","","",google_places,untouched,""
"Train Station Fitness Center",gym,Longmont,"455 Weaver Park Rd Unit 600, Longmont, CO 80501, USA","","","",,,5.0,263,"","","","",google_places,untouched,""
"Train Station Fitness Center",gym,Frederick,"455 Weaver Park Rd Unit 600, Longmont, CO 80501, USA","","","",,,5.0,263,"","","","",google_places,untouched,""
"American Turf & Tree Care",landscaping,Loveland,"201 E 4th St Suite 38, Loveland, CO 80537, USA","","","",,,5.0,257,"","","","",google_places,untouched,""
"Midwestern Carpet & Air Duct Cleaning","cleaning service",Windsor,"1002 Montana Ct, Windsor, CO 80550, USA","","","",,,5.0,254,"","","","",google_places,untouched,""
"Rusty Rental LLC","property management",Frederick,"7602 Esther Cir #102, Frederick, CO 80530, USA","","","",,,5.0,254,"","","","",google_places,untouched,""
"Rusty Rental LLC","property management",Dacono,"7602 Esther Cir #102, Frederick, CO 80530, USA","","","",,,5.0,254,"","","","",google_places,untouched,""
"Aire Serv of the Front Range",hvac,Firestone,"3630 State Hwy 52 Unit E, Frederick, CO 80516, USA","","","",,,5.0,250,"","","","",google_places,untouched,""
"Aire Serv of the Front Range",hvac,Frederick,"3630 State Hwy 52 Unit E, Frederick, CO 80516, USA","","","",,,5.0,250,"","","","",google_places,untouched,""
"Aire Serv of the Front Range",hvac,Dacono,"3630 State Hwy 52 Unit E, Frederick, CO 80516, USA","","","",,,5.0,250,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Windsor,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Greeley,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Wellington,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Severance,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Timnath,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Tornado Roofing & Gutters",roofing,Johnstown,"1327 Hilltop Cir, Windsor, CO 80550, USA","","","",,,5.0,239,"","","","",google_places,untouched,""
"Soukup Real Estate Services","real estate agent","Fort Collins","148 W Oak St STE E, Fort Collins, CO 80524, USA","","","",,,5.0,224,"","","","",google_places,untouched,""
"Kyle Basnar - Realtor, The Group, Inc.","real estate agent","Fort Collins","401 W Mulberry St, Fort Collins, CO 80521, USA","","","",,,5.0,213,"","","","",google_places,untouched,""
"BROWERS Landscape Design and Maintenance",landscaping,Mead,"6919 Peace St, Frederick, CO 80530, USA","","","",,,5.0,191,"","","","",google_places,untouched,""
"BROWERS Landscape Design and Maintenance",landscaping,Firestone,"6919 Peace St, Frederick, CO 80530, USA","","","",,,5.0,191,"","","","",google_places,untouched,""
"BROWERS Landscape Design and Maintenance",irrigation,Frederick,"6919 Peace St, Frederick, CO 80530, USA","","","",,,5.0,191,"","","","",google_places,untouched,""
"BROWERS Landscape Design and Maintenance",landscaping,Dacono,"6919 Peace St, Frederick, CO 80530, USA","","","",,,5.0,191,"","","","",google_places,untouched,""
"Master Plumbing Solutions",plumbing,Windsor,"260 Hillspire Dr, Windsor, CO 80550, USA","","","",,,5.0,185,"","","","",google_places,untouched,""
